mime_type,bass_avg_test_error,linear_avg_test_error
application/javascript,5233.02138357277,5327.496029910578
application/rss+xml,3113745.308969031,797559.7089846582
application/text,12736.366658478666,9319.666666666666
application/vnd.android.package-archive,4061.739386585394,4693.953281068517
application/vnd.ms-excel,12010.916676181283,19174.594601476972
application/vnd.ms-powerpoint,16293.451801357563,9448.173796791443
application/x-debian-package,1729.3352420296826,1673.9482153869892
application/x-dosexec,4739.001352508646,9884.919276801646
application/x-mobipocket-ebook,11666.239423420968,1127.731881533101
application/x-shockwave-flash,8790.391349314767,18741.17796092796
application/xhtml+xml,30815756.49157849,69746869.9992953
application/zlib,7371.934024040922,4305.001317523059
audio/midi,2626.497668666306,10759.804812834234
audio/mp4,506.4446670569817,2854.9759980224967
image/bmp,2731.990046807954,4739.293226381461
image/gif,143626.30512203902,265709.21687808295
image/vnd.microsoft.icon,3916.014583750024,3997.8711001642077
text/asp,34383.17147741299,259793.87463768115
text/aspdotnet,69092.5018845891,287653.77380952355
text/html,2372483347.875308,338079635.3333333
text/x-coldfusion,118532.94547866317,285183.42261904763
text/x-diff,52885.83562433248,10628.256140350879
text/x-vcalendar,16359.000632255034,12049.794362745088
video/x-m4v,1260.4553241045971,9720.593582887699
video/x-matroska,192.74006588945284,6210.825396825396
